gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22400411,2024-12-26 19:00,Orlando,Magic,1610612753,Miami,Heat,1610612748,88,89,1610612748,Regular Season,18846,1000125,,,0
22400412,2024-12-26 19:00,Washington,Wizards,1610612764,Charlotte,Hornets,1610612766,113,110,1610612764,Regular Season,17193,77,,,0
22400409,2024-12-25 22:30,Phoenix,Suns,1610612756,Denver,Nuggets,1610612743,110,100,1610612756,Regular Season,17071,1000051,,,0
22400408,2024-12-25 20:00,Golden State,Warriors,1610612744,Los Angeles,Lakers,1610612747,113,115,1610612747,Regular Season,18064,1000011,,,0
22400407,2024-12-25 17:00,Boston,Celtics,1610612738,Philadelphia,76ers,1610612755,114,118,1610612755,Regular Season,19156,17,,,0
22400406,2024-12-25 14:30,Dallas,Mavericks,1610612742,Minnesota,Timberwolves,1610612750,99,105,1610612750,Regular Season,20341,193,,,0
22400405,2024-12-25 12:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,117,114,1610612752,Regular Season,19812,30,,,0
22400404,2024-12-23 22:30,Los Angeles,Lakers,1610612747,Detroit,Pistons,1610612765,114,117,1610612765,Regular Season,18997,1000069,,,0
22400402,2024-12-23 22:00,Denver,Nuggets,1610612743,Phoenix,Suns,1610612756,117,90,1610612743,Regular Season,19910,1000046,,,0
22400403,2024-12-23 22:00,Golden State,Warriors,1610612744,Indiana,Pacers,1610612754,105,111,1610612754,Regular Season,18064,1000011,,,0
22400401,2024-12-23 20:30,Dallas,Mavericks,1610612742,Portland,Trail Blazers,1610612757,132,108,1610612742,Regular Season,20225,193,,,0
22400398,2024-12-23 20:00,Chicago,Bulls,1610612741,Milwaukee,Bucks,1610612749,91,112,1610612749,Regular Season,21234,66,,,0
22400399,2024-12-23 20:00,Memphis,Grizzlies,1610612763,Los Angeles,Clippers,1610612746,110,114,1610612746,Regular Season,17265,242,,,0
22400400,2024-12-23 20:00,Oklahoma City,Thunder,1610612760,Washington,Wizards,1610612764,123,105,1610612760,Regular Season,18203,1000052,,,0
22400395,2024-12-23 19:30,Atlanta,Hawks,1610612737,Minnesota,Timberwolves,1610612750,117,104,1610612737,Regular Season,17051,650,,,0
22400396,2024-12-23 19:30,Miami,Heat,1610612748,Brooklyn,Nets,1610612751,110,95,1610612748,Regular Season,19832,1000100,,,0
22400397,2024-12-23 19:30,New York,Knicks,1610612752,Toronto,Raptors,1610612761,139,125,1610612752,Regular Season,19812,30,,,0
22400391,2024-12-23 19:00,Charlotte,Hornets,1610612766,Houston,Rockets,1610612745,101,114,1610612745,Regular Season,19134,9,,,0
22400392,2024-12-23 19:00,Cleveland,Cavaliers,1610612739,Utah,Jazz,1610612762,124,113,1610612739,Regular Season,19432,1000006,,,0
22400393,2024-12-23 19:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,108,104,1610612753,Regular Season,18846,1000125,,,0
22400394,2024-12-23 19:00,Philadelphia,76ers,1610612755,San Antonio,Spurs,1610612759,111,106,1610612755,Regular Season,19986,419,,,0
22400390,2024-12-22 19:00,New Orleans,Pelicans,1610612740,Denver,Nuggets,1610612743,129,132,1610612743,Regular Season,17474,160,,,0
22400388,2024-12-22 18:00,Toronto,Raptors,1610612761,Houston,Rockets,1610612745,110,114,1610612745,Regular Season,19305,643,,,0
22400389,2024-12-22 18:00,Sacramento,Kings,1610612758,Indiana,Pacers,1610612754,95,122,1610612754,Regular Season,17832,609,,,0
22400387,2024-12-21 21:00,Phoenix,Suns,1610612756,Detroit,Pistons,1610612765,125,133,1610612765,Regular Season,17071,1000051,,,0
22400385,2024-12-21 20:30,Dallas,Mavericks,1610612742,Los Angeles,Clippers,1610612746,113,97,1610612742,Regular Season,20102,193,,,0
22400386,2024-12-21 20:30,San Antonio,Spurs,1610612759,Portland,Trail Blazers,1610612757,114,94,1610612759,Regular Season,18354,1000118,,,0
22400380,2024-12-21 20:00,Cleveland,Cavaliers,1610612739,Philadelphia,76ers,1610612755,126,99,1610612739,Regular Season,19432,1000006,,,0
22400381,2024-12-21 20:00,Chicago,Bulls,1610612741,Boston,Celtics,1610612738,98,123,1610612738,Regular Season,19803,66,,,0
22400382,2024-12-21 20:00,Milwaukee,Bucks,1610612749,Washington,Wizards,1610612764,112,101,1610612749,Regular Season,17341,642,,,0
22400383,2024-12-21 20:00,Minnesota,Timberwolves,1610612750,Golden State,Warriors,1610612744,103,113,1610612744,Regular Season,18978,61,,,0
22400384,2024-12-21 20:00,New Orleans,Pelicans,1610612740,New York,Knicks,1610612752,93,104,1610612752,Regular Season,16696,160,,,0
22400378,2024-12-21 19:30,Atlanta,Hawks,1610612737,Memphis,Grizzlies,1610612763,112,128,1610612763,Regular Season,16909,650,,,0
22400379,2024-12-21 19:30,Brooklyn,Nets,1610612751,Utah,Jazz,1610612762,94,105,1610612762,Regular Season,17926,461,,,0
22400377,2024-12-21 19:00,Orlando,Magic,1610612753,Miami,Heat,1610612748,121,114,1610612753,Regular Season,18080,1000125,,,0
22400376,2024-12-21 18:00,Sacramento,Kings,1610612758,Los Angeles,Lakers,1610612747,99,103,1610612747,Regular Season,17832,609,,,0
22400375,2024-12-20 20:00,Miami,Heat,1610612748,Oklahoma City,Thunder,1610612760,97,104,1610612760,Regular Season,19801,1000100,,,0
22400374,2024-12-20 19:30,Cleveland,Cavaliers,1610612739,Milwaukee,Bucks,1610612749,124,101,1610612739,Regular Season,19432,1000006,,,0
22400373,2024-12-20 19:00,Philadelphia,76ers,1610612755,Charlotte,Hornets,1610612766,108,98,1610612755,Regular Season,20291,419,,,0
22400371,2024-12-19 22:00,Portland,Trail Blazers,1610612757,Denver,Nuggets,1610612743,126,124,1610612757,Regular Season,16753,51,,,0
22400372,2024-12-19 22:00,Sacramento,Kings,1610612758,Los Angeles,Lakers,1610612747,100,113,1610612747,Regular Season,17832,609,,,0
